代码,名称,开始时间,结束时间,均价
002304,洋河股份,2011-07-02,2013-12-10,115.66
002601,佰利联,2011-07-02,2013-12-10,112.75
600519,贵州茅台,2011-07-02,2013-12-10,101.5
300215,电科院,2011-07-02,2013-12-10,101.21
300197,铁汉生态,2011-07-02,2013-12-10,97.45
002310,东方园林,2011-07-02,2013-12-10,90.59
000869,张  裕Ａ,2011-07-02,2013-12-10,85.97
000596,古井贡酒,2011-07-02,2013-12-10,85.17
002572,索菲亚,2011-07-02,2013-12-10,81.75
600436,片仔癀,2011-07-02,2013-12-10,80.39
002293,罗莱家纺,2011-07-02,2013-12-10,74.2
000661,长春高新,2011-07-02,2013-12-10,73.25
002006,*ST精功,2011-07-02,2013-12-10,71.43
300124,汇川技术,2011-07-02,2013-12-10,70.92
300288,朗玛信息,2011-07-02,2013-12-10,70.12
600132,重庆啤酒,2011-07-02,2013-12-10,69.49
300204,舒泰神,2011-07-02,2013-12-10,69.43
002456,欧菲光,2011-07-02,2013-12-10,68.41
300228,富瑞特装,2011-07-02,2013-12-10,68.27
300238,冠昊生物,2011-07-02,2013-12-10,67.86
002635,安洁科技,2011-07-02,2013-12-10,64.02
300251,光线传媒,2011-07-02,2013-12-10,63.75
600809,山西汾酒,2011-07-02,2013-12-10,62.82
600150,中国船舶,2011-07-02,2013-12-10,62.74
300347,泰格医药,2011-07-02,2013-12-10,60.08
300343,联创节能,2011-07-02,2013-12-10,60.07
300291,华录百纳,2011-07-02,2013-12-10,59.65
300257,开山股份,2011-07-02,2013-12-10,59.3
300315,掌趣科技,2011-07-02,2013-12-10,59.15
300134,大富科技,2011-07-02,2013-12-10,57.73
300340,科恒股份,2011-07-02,2013-12-10,57.59
300183,东软载波,2011-07-02,2013-12-10,57.35
300166,东方国信,2011-07-02,2013-12-10,57.26
600111,包钢稀土,2011-07-02,2013-12-10,56.21
002353,杰瑞股份,2011-07-02,2013-12-10,54.42
300346,南大光电,2011-07-02,2013-12-10,51.37
300139,福星晓程,2011-07-02,2013-12-10,49.64
002241,歌尔声学,2011-07-02,2013-12-10,49.01
002371,七星电子,2011-07-02,2013-12-10,48.53
002334,英威腾,2011-07-02,2013-12-10,48.39
002322,理工监测,2011-07-02,2013-12-10,48.31
300146,汤臣倍健,2011-07-02,2013-12-10,47.95
002585,双星新材,2011-07-02,2013-12-10,47.23
002582,好想你,2011-07-02,2013-12-10,46.79
002447,壹桥苗业,2011-07-02,2013-12-10,46.25
600535,天士力,2011-07-02,2013-12-10,46.2
002038,双鹭药业,2011-07-02,2013-12-10,46.0
600315,上海家化,2011-07-02,2013-12-10,45.96
600971,恒源煤电,2011-07-02,2013-12-10,45.83
002648,卫星石化,2011-07-02,2013-12-10,45.52
300080,新大新材,2011-07-02,2013-12-10,45.37
000049,德赛电池,2011-07-02,2013-12-10,44.9
600259,广晟有色,2011-07-02,2013-12-10,44.88
300190,维尔利,2011-07-02,2013-12-10,44.85
300250,初灵信息,2011-07-02,2013-12-10,44.17
000792,盐湖股份,2011-07-02,2013-12-10,44.0
000799,酒 鬼 酒,2011-07-02,2013-12-10,43.91
000538,云南白药,2011-07-02,2013-12-10,43.67
000895,双汇发展,2011-07-02,2013-12-10,43.58
300105,龙源技术,2011-07-02,2013-12-10,42.01
601908,京运通,2011-07-02,2013-12-10,41.97
300187,永清环保,2011-07-02,2013-12-10,41.7
002407,多氟多,2011-07-02,2013-12-10,41.5
002236,大华股份,2011-07-02,2013-12-10,41.46
300133,华策影视,2011-07-02,2013-12-10,41.37
002327,富安娜,2011-07-02,2013-12-10,41.22
002400,省广股份,2011-07-02,2013-12-10,40.9
