代码,名称,开始时间,结束时间,起始时间的值,结束时间的值,总市值(指定两天比值)
000001,平安银行,2014-01-17,2014-10-09,1092.981598324,1165.33929,1.0662
000002,万  科Ａ,2014-01-17,2014-10-09,779.77173,1043.12310425,1.3377
000004,国农科技,2014-01-17,2014-10-09,9.70769496,16.11510954,1.6600
000005,世纪星源,2014-01-17,2014-10-09,21.121104312,36.481907448,1.7273
000006,深振业Ａ,2014-01-17,2014-10-09,57.3747875,84.1046885,1.4659
000007,零七股份,2014-01-17,2014-10-09,31.665341259,40.049381286,1.2648
000008,宝利来,2014-01-17,2014-10-09,25.10785232,49.12273888,1.9565
000009,中国宝安,2014-01-17,2014-10-09,108.753283371,206.21728131,1.8962
000010,深华新,2014-01-17,2014-10-09,39.92993942,45.98705836,1.1517
000011,深物业A,2014-01-17,2014-10-09,41.06295999,49.76425485,1.2119
000012,南  玻Ａ,2014-01-17,2014-10-09,156.895373628,167.064518215,1.0648
000014,沙河股份,2014-01-17,2014-10-09,17.99209492,30.31627653,1.6850
000016,深康佳Ａ,2014-01-17,2014-10-09,45.269374648,67.904061972,1.5000
000017,深中华A,2014-01-17,2014-10-09,32.915464257,50.448324615,1.5327
000018,中冠A,2014-01-17,2014-10-09,15.1382448,17.65846656,1.1665
000019,深深宝Ａ,2014-01-17,2014-10-09,17.83899711,28.45206945,1.5949
000020,深华发Ａ,2014-01-17,2014-10-09,17.527671471,22.737835527,1.2973
000021,长城开发,2014-01-17,2014-10-09,89.599696242,99.015756274,1.1051
000022,深赤湾Ａ,2014-01-17,2014-10-09,93.426261579,97.35932021,1.0421
000023,深天地Ａ,2014-01-17,2014-10-09,11.04499352,15.85983366,1.4359
000024,招商地产,2014-01-17,2014-10-09,293.314920276,323.796994191,1.1039
000025,特  力Ａ,2014-01-17,2014-10-09,18.23931648,26.94043968,1.4771
000026,飞亚达Ａ,2014-01-17,2014-10-09,26.433273613,41.869048546,1.5840
000027,深圳能源,2014-01-17,2014-10-09,137.964306636,190.29559536,1.3793
000028,国药一致,2014-01-17,2014-10-09,146.35102947,189.112541065,1.2922
000029,深深房Ａ,2014-01-17,2014-10-09,33.688278,56.349462,1.6727
000030,富奥股份,2014-01-17,2014-10-09,73.246410972,107.142356475,1.4628
000031,中粮地产,2014-01-17,2014-10-09,60.397260948,100.117982112,1.6577
000032,深桑达Ａ,2014-01-17,2014-10-09,18.69899526,20.39890392,1.0909
000033,*ST新都,2014-01-17,2014-10-09,12.385511816,16.437155309,1.3271
000034,深信泰丰,2014-01-17,2014-10-09,14.068359336,25.380322568,1.8041
000035,中国天楹,2014-01-17,2014-10-09,19.688964078,85.274705907,4.3311
000036,华联控股,2014-01-17,2014-10-09,30.232579937,49.338671347,1.6320
000037,深南电Ａ,2014-01-17,2014-10-09,24.833819944,33.814982982,1.3617
000038,深大通,2014-01-17,2014-10-09,11.63395311,18.8606684,1.6212
000039,中集集团,2014-01-17,2014-10-09,433.97053822,423.66961125,0.9763
000040,宝安地产,2014-01-17,2014-10-09,19.394202464,24.371891232,1.2567
000042,中洲控股,2014-01-17,2014-10-09,59.267094975,63.21823464,1.0667
000043,中航地产,2014-01-17,2014-10-09,36.349396845,66.696141,1.8349
000045,深纺织Ａ,2014-01-17,2014-10-09,37.128042076,53.387389288,1.4379
000046,泛海控股,2014-01-17,2014-10-09,195.96441084,267.969938544,1.3674
000048,康达尔,2014-01-17,2014-10-09,49.041473105,43.570711165,0.8884
000049,德赛电池,2014-01-17,2014-10-09,96.0540282,81.091742409,0.8442
000050,深天马Ａ,2014-01-17,2014-10-09,71.5499925,288.706476044,4.0350
000055,方大集团,2014-01-17,2014-10-09,41.705736592,66.456690976,1.5935
000056,深国商,2014-01-17,2014-10-09,40.005187399,46.044640917,1.1510
